id,recordDate,timestamp,siteId,siteName,siteType,date,lastIndex,newIndex,lastIndexPv,newIndexPv,previousBalance,cosPhi,reactiveCons,maxPower,lateFees,relanceFees,adjustment,type,consumptionGrid,productionPv,currentMonthBalance,prevBalance,totalBalance,billedKwh,newCarryOver,consoAmountHT,fixedAmountHT,totalTTC,contributionCL,fteElec,fteGaz,netToPay,totalFinalTTC,totalHT,energyRecorded,loadLosses,baseEnergyAmountHT,adjustmentRate,adjustmentType,cosPhiAdjustmentAmount,total1_TTC,total1_HT,powerPremium,total2_HT,total2_TTC,municipalTax,powerOverrun,powerOverrunAmount,subPower,_createdAt
1774255709471,2025-01,09:48:29,1.0,MT 1 - Mégrine,MT,2025-01,3708531.0,3733944.0,,,,1.0,1299.0,142.0,,,,MT,,,,,,27221.26,,,,,,,,10718.34021913,,,25413.0,508.26,7921.386659999999,-0.05,bonus,-396.069333,8955.127619129998,7525.317326999999,1250.0,1250.0,1487.5,272.2126,0.0,0.0,250.0,2026-03-23T09:48:29
1774256238190,2025-02,09:57:18,1.0,MT 1 - Mégrine,MT,2025-02,0.0,27131.0,,,,0.99,1300.0,110.0,,,,MT,,,,,,28973.62,,,,,,,,11362.513700658998,,,27131.0,542.62,8431.323419999999,-0.045,bonus,-379.40955389999993,9581.777500658998,8051.913866099999,1250.0,1250.0,1487.5,289.7362,0.0,0.0,250.0,2026-03-23T09:57:18
1774256436857,2025-03,10:00:36,1.0,MT 1 - Mégrine,MT,2025-03,27131.0,44725.0,,,,0.99,1932.0,107.0,14.0,,,MT,,,,,,19245.88,,,,,,,,8064.865074865999,,,17594.0,351.88,5600.55108,-0.045,bonus,-252.0247986,6364.746274865999,5348.5262814,1250.0,1264.0,1504.16,192.4588,0.0,0.0,250.0,2026-03-23T10:00:36
1774256491124,2025-04,10:01:31,1.0,MT 1 - Mégrine,MT,2025-04,44725.0,69901.0,,,,1.0,1546.0,123.0,,,,MT,,,,,,26979.52,,,,,,,,10636.39628176,,,25176.0,503.52,7851.04032,-0.05,bonus,-392.552016,8875.60108176,7458.488304,1250.0,1250.0,1487.5,269.7952,0.0,0.0,250.0,2026-03-23T10:01:31
1774256613823,2025-05,10:03:33,1.0,MT 1 - Mégrine,MT,2025-05,69901.0,91876.0,,,,0.99,2268.0,176.0,,,,MT,,,,,,23714.5,,,,,,,,9570.694965775,,,21975.0,439.5,6900.9195,-0.045,bonus,-310.5413775,7842.549965775,6590.3781225,1250.0,1250.0,1487.5,237.145,0.0,0.0,250.0,2026-03-23T10:03:33
1774256724681,2025-06,10:05:24,1.0,MT 1 - Mégrine,MT,2025-06,91876.0,123834.0,,,,1.0,2811.0,179.0,,,,MT,,,,,,33897.16,,,,,,,,12981.306759580002,,,31958.0,639.16,9864.07356,-0.05,bonus,-493.2036780000001,11151.33515958,9370.869882,1250.0,1250.0,1487.5,338.9716,0.0,0.0,250.0,2026-03-23T10:05:24
1774256819567,2025-07,10:06:59,1.0,MT 1 - Mégrine,MT,2025-07,123834.0,164973.0,,,,0.99,6804.0,190.0,,,,MT,,,,,,43261.78,,,,,,,,16230.589115370998,,,41139.0,822.78,12589.17798,-0.045,bonus,-566.5130090999999,14306.971315370998,12022.6649709,1250.0,1250.0,1487.5,432.6178,0.0,0.0,250.0,2026-03-23T10:06:59
1774256872473,2025-08,10:07:52,1.0,MT 1 - Mégrine,MT,2025-08,164973.0,200683.0,,,,0.99,5375.0,211.0,,,,MT,,,,,,37724.2,,,,,,,,14343.897123189998,,,35710.0,714.2,10977.7422,-0.045,bonus,-493.998399,12475.655123189998,10483.743801,1250.0,1250.0,1487.5,377.242,0.0,0.0,250.0,2026-03-23T10:07:52
1774256905020,2025-09,10:08:25,1.0,MT 1 - Mégrine,MT,2025-09,200683.0,237902.0,,,,1.0,3567.0,198.0,,,,MT,,,,,,39263.38,,,,,,,,14800.323867189996,,,37219.0,744.38,11425.643579999998,-0.05,bonus,-571.2821789999999,12916.690067189997,10854.361400999998,1250.0,1250.0,1487.5,392.6338,0.0,0.0,250.0,2026-03-23T10:08:24
1774257023992,2025-10,10:10:23,1.0,MT 1 - Mégrine,MT,2025-10,237902.0,272054.0,,,,0.99,2564.0,150.0,,,,MT,,,,,,36135.04,,,,,,,,13802.459266527996,,,34152.0,683.04,10515.29664,-0.045,bonus,-473.1883487999999,11950.108866527997,10042.108291199998,1250.0,1250.0,1487.5,361.3504,0.0,0.0,250.0,2026-03-23T10:10:23
