Timestamp,P_SUM_kW,Q_SUM_kvar,S_SUM_kVA,PF_SUM,V_AVG_V,I_AVG_A,FREQ_Hz
2026-04-14 20:06:49,2.8,0.3,3.1,0.899,239.0,4.4,50.04
2026-04-14 20:06:54,2.8,0.3,3.1,0.899,239.1,4.4,50.04
2026-04-14 20:06:59,2.8,0.3,3.1,0.899,239.0,4.4,50.04
2026-04-14 20:07:04,2.8,0.3,3.1,0.899,238.8,4.4,50.01
2026-04-14 20:07:10,2.8,0.3,3.1,0.9,238.9,4.4,50.0
2026-04-14 20:07:15,2.8,0.3,3.1,0.899,239.0,4.4,49.99
2026-04-14 20:07:20,2.8,0.3,3.1,0.899,239.0,4.4,50.0
2026-04-14 20:07:26,2.8,0.3,3.1,0.899,239.0,4.4,50.0
2026-04-14 20:07:31,2.8,0.3,3.1,0.899,239.0,4.4,50.0
2026-04-14 20:07:36,2.8,0.3,3.1,0.9,239.0,4.4,50.0
2026-04-14 20:07:41,2.8,0.3,3.1,0.9,239.1,4.4,50.0
2026-04-14 20:07:47,2.8,0.3,3.1,0.9,239.1,4.4,50.01
2026-04-14 20:07:52,2.8,0.3,3.1,0.899,239.0,4.4,50.01
2026-04-14 20:07:57,2.8,0.3,3.1,0.899,239.0,4.4,50.01
2026-04-14 20:08:02,2.8,0.3,3.1,0.899,239.1,4.4,50.0
2026-04-14 20:08:07,2.8,0.3,3.1,0.899,239.1,4.4,50.01
2026-04-14 20:08:13,2.8,0.3,3.1,0.899,239.5,4.4,50.06
2026-04-14 20:08:18,2.8,0.3,3.1,0.899,239.5,4.4,50.13
2026-04-14 20:08:23,2.8,0.3,3.1,0.899,239.2,4.4,50.12
2026-04-14 20:08:28,2.8,0.3,3.1,0.899,239.3,4.4,50.11
2026-04-14 20:08:33,2.8,0.3,3.1,0.899,239.3,4.4,50.11
2026-04-14 20:08:39,2.8,0.3,3.1,0.899,239.3,4.4,50.11
2026-04-14 20:08:44,2.8,0.3,3.1,0.899,239.3,4.4,50.11
2026-04-14 20:08:49,2.8,0.3,3.1,0.899,239.3,4.4,50.11
2026-04-14 20:08:54,2.8,0.3,3.1,0.899,239.3,4.4,50.11
2026-04-14 20:09:00,2.8,0.3,3.2,0.9,239.3,4.4,50.1
2026-04-14 20:09:05,2.8,0.3,3.1,0.899,239.3,4.4,50.1
2026-04-14 20:09:10,2.8,0.3,3.1,0.899,239.2,4.4,50.1
2026-04-14 20:09:15,2.8,0.3,3.1,0.899,239.2,4.4,50.11
2026-04-14 20:09:20,2.8,0.3,3.1,0.9,239.0,4.4,50.1
2026-04-14 20:09:26,2.9,0.3,3.2,0.9,238.9,4.4,50.1
2026-04-14 20:09:31,2.9,0.3,3.2,0.901,238.8,4.5,50.1
2026-04-14 20:09:36,2.9,0.3,3.2,0.9,238.8,4.5,50.1
2026-04-14 20:09:41,2.9,0.3,3.2,0.9,238.8,4.5,50.09
2026-04-14 20:09:46,2.9,0.3,3.2,0.9,238.8,4.5,50.1
2026-04-14 20:09:52,2.9,0.3,3.2,0.9,238.8,4.4,50.1
2026-04-14 20:09:57,2.9,0.3,3.2,0.9,238.8,4.5,50.1
2026-04-14 20:10:02,2.9,0.3,3.2,0.9,238.8,4.4,50.1
2026-04-14 20:10:07,2.9,0.3,3.2,0.901,238.7,4.5,50.11
2026-04-14 20:10:14,2.9,0.3,3.2,0.9,238.5,4.4,50.1
2026-04-14 20:10:19,2.9,0.3,3.2,0.9,238.7,4.5,50.09
2026-04-14 20:10:24,2.8,0.3,3.2,0.901,238.6,4.4,50.09
2026-04-14 20:10:29,2.9,0.3,3.2,0.9,238.6,4.4,50.09
2026-04-14 20:10:34,2.8,0.3,3.2,0.9,238.5,4.4,50.08
2026-04-14 20:10:40,2.8,0.3,3.2,0.9,238.5,4.4,50.08
2026-04-14 20:10:45,2.8,0.3,3.2,0.9,238.5,4.4,50.08
2026-04-14 20:10:50,2.8,0.3,3.2,0.901,238.4,4.4,50.08
2026-04-14 20:10:55,2.8,0.3,3.2,0.901,238.5,4.4,50.08
2026-04-14 20:11:00,2.9,0.3,3.2,0.902,238.5,4.4,50.08
2026-04-14 20:11:06,2.8,0.3,3.2,0.901,238.4,4.4,50.07
2026-04-14 20:11:11,2.8,0.3,3.2,0.901,238.5,4.4,50.07
2026-04-14 20:11:16,2.8,0.3,3.2,0.901,238.4,4.4,50.07
2026-04-14 20:11:21,2.9,0.3,3.2,0.901,238.3,4.4,50.06
2026-04-14 20:11:27,2.8,0.3,3.2,0.901,238.4,4.4,50.06
2026-04-14 20:11:32,2.8,0.3,3.2,0.901,238.4,4.4,50.07
2026-04-14 20:11:38,2.8,0.3,3.2,0.901,238.4,4.4,50.06
2026-04-14 20:11:44,2.8,0.3,3.2,0.901,238.4,4.4,50.07
2026-04-14 20:11:49,2.8,0.3,3.2,0.901,238.4,4.4,50.07
2026-04-14 20:11:54,2.8,0.3,3.2,0.901,238.5,4.4,50.06
2026-04-14 20:11:59,2.8,0.3,3.2,0.9,238.4,4.4,50.06
2026-04-14 20:12:05,2.8,0.3,3.2,0.9,238.4,4.4,50.06
2026-04-14 20:12:10,2.8,0.3,3.2,0.9,238.4,4.4,50.06
2026-04-14 20:12:15,2.8,0.3,3.2,0.9,238.4,4.4,50.06
2026-04-14 20:12:20,2.8,0.3,3.2,0.9,238.5,4.4,50.06
2026-04-14 20:12:25,2.8,0.3,3.2,0.901,238.5,4.4,50.06
2026-04-14 20:12:31,2.8,0.3,3.2,0.9,238.5,4.4,50.06
2026-04-14 20:12:36,2.8,0.3,3.2,0.901,238.5,4.4,50.07
2026-04-14 20:12:41,2.8,0.3,3.2,0.901,238.6,4.4,50.07
2026-04-14 20:12:46,2.8,0.3,3.2,0.901,238.6,4.4,50.07
2026-04-14 20:12:52,2.8,0.3,3.2,0.901,238.6,4.4,50.07
2026-04-14 20:12:57,2.8,0.3,3.2,0.901,238.5,4.4,50.07
2026-04-14 20:13:02,2.8,0.3,3.2,0.901,238.6,4.4,50.07
2026-04-14 20:13:07,2.8,0.3,3.2,0.9,238.7,4.4,50.07
2026-04-14 20:13:12,2.8,0.3,3.2,0.901,238.7,4.4,50.07
2026-04-14 20:13:18,2.8,0.3,3.2,0.9,238.7,4.4,50.08
2026-04-14 20:13:23,2.8,0.3,3.2,0.901,238.8,4.4,50.08
2026-04-14 20:13:28,2.9,0.3,3.2,0.9,238.8,4.4,50.08
2026-04-14 20:13:33,2.8,0.3,3.2,0.901,238.8,4.4,50.08
2026-04-14 20:13:38,2.8,0.3,3.2,0.9,238.7,4.4,50.08
2026-04-14 20:13:44,2.8,0.3,3.2,0.9,238.7,4.4,50.08
2026-04-14 20:13:49,2.8,0.3,3.2,0.9,238.7,4.4,50.08
2026-04-14 20:13:54,2.9,0.3,3.2,0.903,238.6,4.4,50.08
2026-04-14 20:13:59,2.9,0.3,3.2,0.9,238.6,4.5,50.07
2026-04-14 20:14:05,2.9,0.3,3.2,0.901,238.7,4.5,50.07
2026-04-14 20:14:10,2.9,0.3,3.2,0.9,238.7,4.4,50.07
2026-04-14 20:14:15,2.9,0.3,3.2,0.901,238.5,4.5,50.07
2026-04-14 20:14:20,2.9,0.3,3.2,0.899,238.7,4.5,50.08
2026-04-14 20:14:25,2.9,0.3,3.2,0.899,238.6,4.5,50.07
2026-04-14 20:14:31,2.9,0.3,3.2,0.9,238.5,4.5,50.07
2026-04-14 20:14:36,2.9,0.3,3.2,0.901,238.5,4.5,50.07
2026-04-14 20:14:42,2.9,0.3,3.2,0.9,238.5,4.4,50.07
2026-04-14 20:14:47,2.9,0.3,3.2,0.899,238.5,4.4,50.07
