Timestamp,P_SUM_kW,Q_SUM_kvar,S_SUM_kVA,PF_SUM,V_AVG_V,I_AVG_A,FREQ_Hz
2026-04-14 15:43:58,0.37,9.59,9.7,0.038,232.4,13.9,50.01
2026-04-14 15:44:04,0.35,9.56,9.67,0.036,232.5,13.9,50.02
2026-04-14 15:44:09,0.35,9.55,9.65,0.037,232.5,13.8,50.03
2026-04-14 15:44:14,0.35,9.54,9.64,0.036,232.5,13.8,50.04
2026-04-14 15:44:19,0.36,9.53,9.64,0.038,232.2,13.8,50.03
2026-04-14 15:44:25,0.37,9.53,9.64,0.038,232.3,13.8,50.03
2026-04-14 15:44:30,0.36,9.52,9.63,0.037,232.5,13.8,50.04
2026-04-14 15:44:35,0.34,9.51,9.61,0.036,232.5,13.8,50.04
2026-04-14 15:44:40,0.36,9.48,9.6,0.038,232.3,13.8,50.04
2026-04-14 15:44:46,0.36,9.48,9.59,0.037,232.3,13.8,50.03
2026-04-14 15:44:51,0.34,9.47,9.58,0.036,232.4,13.7,50.03
2026-04-14 15:44:56,0.34,9.46,9.57,0.035,232.5,13.7,50.03
2026-04-14 15:45:01,0.35,9.44,9.56,0.037,232.3,13.7,50.03
2026-04-14 15:45:07,0.38,9.34,9.46,0.04,232.4,13.6,50.03
2026-04-14 15:45:12,0.38,9.34,9.45,0.04,232.3,13.6,50.03
2026-04-14 15:45:17,0.39,9.36,9.47,0.041,232.4,13.6,50.03
2026-04-14 15:45:22,0.37,9.33,9.45,0.039,232.5,13.5,50.03
2026-04-14 15:45:27,0.38,9.32,9.45,0.04,232.5,13.5,50.03
2026-04-14 15:45:33,0.38,9.32,9.44,0.041,232.4,13.5,50.03
2026-04-14 15:45:48,0.37,9.3,9.41,0.039,232.4,13.5,50.03
2026-04-14 15:45:53,0.38,9.3,9.42,0.04,232.3,13.5,50.03
2026-04-14 15:45:58,0.38,9.28,9.4,0.04,232.3,13.5,50.03
2026-04-14 15:46:04,0.37,9.28,9.4,0.039,232.3,13.5,50.03
