Timestamp,P_SUM_kW,Q_SUM_kvar,S_SUM_kVA,PF_SUM,V_AVG_V,I_AVG_A,FREQ_Hz
2026-04-09 07:06:33,8.1,-1.7,8.4,0.957,238.7,11.8,49.93
2026-04-09 07:06:38,7.9,-1.7,8.3,0.955,238.8,11.5,49.94
2026-04-09 07:06:43,7.8,-1.7,8.2,0.954,238.9,11.4,49.94
2026-04-09 07:06:48,7.8,-1.7,8.2,0.953,238.9,11.4,49.94
2026-04-09 07:06:53,7.7,-1.8,8.1,0.95,237.8,11.4,49.94
2026-04-09 07:06:58,7.7,-1.8,8.1,0.951,237.7,11.4,49.93
2026-04-09 07:07:03,7.7,-1.8,8.1,0.95,237.9,11.4,49.94
2026-04-09 07:07:08,7.8,-1.9,8.2,0.951,238.0,11.5,49.96
2026-04-09 07:07:13,7.8,-1.9,8.2,0.947,238.0,11.5,50.0
2026-04-09 07:07:18,7.8,-2.0,8.3,0.948,237.8,11.6,50.01
2026-04-09 07:07:23,7.9,-1.9,8.3,0.949,238.1,11.6,50.02
2026-04-09 07:07:28,7.9,-1.9,8.3,0.949,238.0,11.7,50.02
2026-04-09 07:07:33,7.9,-1.9,8.3,0.95,238.0,11.7,50.02
2026-04-09 07:07:38,7.9,-1.8,8.3,0.952,238.0,11.7,50.02
2026-04-09 07:07:44,8.0,-1.8,8.4,0.953,237.9,11.8,50.03
2026-04-09 07:07:49,8.0,-1.8,8.4,0.954,238.0,11.8,50.03
2026-04-09 07:07:54,8.5,-1.5,8.8,0.958,238.0,12.4,50.02
2026-04-09 07:07:59,8.9,-1.5,9.3,0.955,237.3,13.1,50.02
2026-04-09 07:08:04,8.1,-1.5,8.5,0.956,237.1,11.9,50.02
2026-04-09 07:08:09,8.0,-1.5,8.4,0.956,237.5,11.7,50.02
2026-04-09 07:08:14,7.8,-1.6,8.1,0.955,237.7,11.4,50.01
2026-04-09 07:08:19,7.7,-1.6,8.1,0.955,237.7,11.4,50.0
2026-04-09 07:08:24,7.7,-1.6,8.1,0.953,237.6,11.4,50.0
2026-04-09 07:08:29,7.7,-1.7,8.1,0.951,237.5,11.4,49.98
2026-04-09 07:08:34,7.7,-1.7,8.1,0.952,237.5,11.4,49.97
2026-04-09 07:08:39,7.8,-1.7,8.2,0.95,237.6,11.5,49.97
2026-04-09 07:08:44,7.8,-1.7,8.2,0.951,237.6,11.5,49.97
2026-04-09 07:08:49,7.8,-1.7,8.2,0.95,237.6,11.5,49.96
2026-04-09 07:08:55,7.8,-1.7,8.2,0.95,237.5,11.5,49.96
2026-04-09 07:09:00,7.8,-1.7,8.2,0.95,237.5,11.6,49.96
2026-04-09 07:09:05,7.9,-1.7,8.3,0.951,237.5,11.6,49.96
2026-04-09 07:09:10,7.9,-1.7,8.3,0.951,237.5,11.6,49.96
2026-04-09 07:09:15,7.9,-1.7,8.3,0.952,237.5,11.6,49.95
2026-04-09 07:09:20,7.9,-1.7,8.3,0.953,237.5,11.7,49.95
2026-04-09 07:09:25,7.9,-1.6,8.3,0.954,237.6,11.7,49.95
2026-04-09 07:09:30,8.0,-1.6,8.3,0.953,237.4,11.7,49.95
2026-04-09 07:09:35,8.0,-1.6,8.4,0.954,237.5,11.7,49.95
2026-04-09 07:09:40,8.4,-1.4,8.8,0.956,237.5,12.4,49.95
2026-04-09 07:09:45,8.1,-1.5,8.5,0.956,237.5,11.9,49.94
2026-04-09 07:09:50,13.9,-1.2,14.1,0.986,237.4,19.8,49.94
2026-04-09 07:09:55,24.4,0.3,24.4,0.997,237.3,34.3,49.95
2026-04-09 07:10:00,24.3,0.2,24.4,0.997,237.1,34.2,49.95
2026-04-09 07:10:06,24.5,0.5,24.5,0.997,237.2,34.5,49.95
2026-04-09 07:10:11,24.4,0.3,24.5,0.997,237.3,34.4,49.96
2026-04-09 07:10:16,24.4,0.5,24.5,0.997,237.2,34.4,49.95
2026-04-09 07:10:21,24.5,0.4,24.6,0.997,237.1,34.6,49.95
2026-04-09 07:10:26,24.6,0.3,24.7,0.997,237.0,34.8,49.94
2026-04-09 07:10:31,24.8,0.5,24.8,0.997,237.1,34.9,49.95
2026-04-09 07:10:36,24.9,0.3,25.0,0.997,237.2,35.1,49.95
2026-04-09 07:10:41,25.1,0.5,25.1,0.997,237.1,35.3,49.95
2026-04-09 07:10:46,25.2,0.4,25.3,0.997,237.2,35.5,49.95
2026-04-09 07:10:51,16.0,-1.0,16.1,0.992,237.4,22.6,49.95
2026-04-09 07:10:56,14.4,-1.3,14.6,0.989,237.3,20.5,49.96
2026-04-09 07:11:01,13.3,-1.2,13.4,0.987,237.4,18.9,49.97
2026-04-09 07:11:06,12.2,-1.3,12.4,0.983,237.4,17.4,49.98
2026-04-09 07:11:11,11.3,-1.4,11.6,0.98,237.4,16.3,49.98
2026-04-09 07:11:16,10.6,-1.5,10.8,0.975,237.4,15.2,49.98
2026-04-09 07:11:22,9.9,-1.6,10.2,0.971,237.5,14.4,49.98
2026-04-09 07:11:27,9.5,-1.6,9.8,0.968,237.3,13.7,49.98
2026-04-09 07:11:32,9.2,-1.4,9.5,0.967,237.5,13.3,49.98
2026-04-09 07:11:37,8.8,-1.5,9.1,0.963,237.4,12.8,49.98
2026-04-09 07:11:42,8.4,-1.7,8.7,0.956,237.3,12.3,49.98
2026-04-09 07:11:47,7.9,-1.7,8.3,0.953,237.1,11.7,49.97
2026-04-09 07:11:52,7.8,-1.8,8.2,0.951,237.1,11.6,49.97
2026-04-09 07:11:57,7.8,-1.7,8.2,0.952,237.1,11.5,49.97
2026-04-09 07:12:02,3.0,-10.3,10.7,0.279,237.4,15.0,49.97
2026-04-09 07:12:07,2.3,-10.5,11.0,0.211,237.4,15.4,49.97
2026-04-09 07:12:12,2.4,-10.5,11.0,0.214,237.2,15.5,49.97
